date,admin1,admin2,market,latitude,longitude,category,commodity,unit,price,usdprice
2012-12-15,,,National Average,,,pulses and nuts,Pulses,KG,1.5,2.118
2012-12-15,,,National Average,,,vegetables and fruits,Apples (red),KG,1.9,2.6813
2012-12-15,,,National Average,,,vegetables and fruits,Bananas,KG,0.85,1.2012
2012-12-15,,,National Average,,,vegetables and fruits,Cucumbers,KG,0.59,0.8252
2012-12-15,,,National Average,,,vegetables and fruits,Garlic,KG,2.53,3.5671
2012-12-15,,,National Average,,,vegetables and fruits,Onions,KG,0.6,0.8435
2012-12-15,,,National Average,,,vegetables and fruits,Oranges (big size),KG,1.57,2.2067
2012-12-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,0.48,0.6802
2013-01-15,,,National Average,,,cereals and tubers,Bread (pita),KG,0.17,0.2324
2013-01-15,,,National Average,,,cereals and tubers,Potatoes,KG,0.77,1.0773
2013-01-15,,,National Average,,,cereals and tubers,Rice (imported),KG,1.11,1.5646
2013-01-15,,,National Average,,,"meat, fish and eggs",Eggs,2 KG,3.61,5.0796
2013-01-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,9.54,13.4348
2013-01-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,2.28,3.2094
2013-01-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, whole)",KG,1.78,2.5081
2013-01-15,,,National Average,,,"meat, fish and eggs",Meat (lamb),KG,11.79,16.6076
2013-01-15,,,National Average,,,milk and dairy,"Cheese (white, boiled)",KG,4.43,6.2372
2013-01-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,1.17,1.6448
2013-01-15,,,National Average,,,miscellaneous food,Sugar,KG,0.8,1.1224
2013-01-15,,,National Average,,,oil and fats,Oil (olive),KG,5.3,7.4638
2013-01-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.86,2.625
2013-01-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,1.5,2.1124
2013-01-15,,,National Average,,,pulses and nuts,Chickpeas,KG,1.77,2.4997
2013-01-15,,,National Average,,,pulses and nuts,Lentils,KG,1.26,1.7772
2013-01-15,,,National Average,,,vegetables and fruits,Apples (red),KG,1.99,2.7982
2013-01-15,,,National Average,,,vegetables and fruits,Bananas,KG,0.85,1.197
2013-01-15,,,National Average,,,vegetables and fruits,Cucumbers,KG,0.64,0.9055
2013-01-15,,,National Average,,,vegetables and fruits,Garlic,KG,2.54,3.5812
2013-01-15,,,National Average,,,vegetables and fruits,Onions,KG,0.63,0.8816
2013-01-15,,,National Average,,,vegetables and fruits,Oranges (big size),KG,1.57,2.211
2013-01-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,0.77,1.0773
2013-02-15,,,National Average,,,cereals and tubers,Bread (pita),KG,0.17,0.2324
2013-02-15,,,National Average,,,cereals and tubers,Potatoes,KG,0.78,1.0999
2013-02-15,,,National Average,,,cereals and tubers,Rice (imported),KG,1.15,1.6125
2013-02-15,,,National Average,,,"meat, fish and eggs",Eggs,2 KG,3.84,5.4119
2013-02-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,9.34,13.1574
2013-02-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,2.45,3.4446
2013-02-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, whole)",KG,1.8,2.5349
2013-02-15,,,National Average,,,"meat, fish and eggs",Meat (lamb),KG,11.75,16.5485
2013-02-15,,,National Average,,,milk and dairy,"Cheese (white, boiled)",KG,4.54,6.3879
2013-02-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,1.16,1.635
2013-02-15,,,National Average,,,miscellaneous food,Sugar,KG,0.79,1.1125
2013-02-15,,,National Average,,,oil and fats,Oil (olive),KG,5.07,7.1413
2013-02-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.85,2.6123
2013-02-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,1.49,2.1025
2013-02-15,,,National Average,,,pulses and nuts,Chickpeas,KG,1.78,2.5123
2013-02-15,,,National Average,,,pulses and nuts,Lentils,KG,1.28,1.7998
2013-02-15,,,National Average,,,vegetables and fruits,Apples (red),KG,2.05,2.8869
2013-02-15,,,National Average,,,vegetables and fruits,Bananas,KG,0.83,1.1745
2013-02-15,,,National Average,,,vegetables and fruits,Cucumbers,KG,0.68,0.9562
2013-02-15,,,National Average,,,vegetables and fruits,Garlic,KG,2.65,3.7333
2013-02-15,,,National Average,,,vegetables and fruits,Onions,KG,0.68,0.9576
2013-02-15,,,National Average,,,vegetables and fruits,Oranges (big size),KG,0.6,0.8506
2013-02-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,0.48,0.6774
2013-03-15,,,National Average,,,cereals and tubers,Bread (pita),KG,0.17,0.2324
2013-03-15,,,National Average,,,cereals and tubers,Potatoes,KG,0.78,1.0942
2013-03-15,,,National Average,,,cereals and tubers,Rice (imported),KG,1.15,1.6125
2013-03-15,,,National Average,,,"meat, fish and eggs",Eggs,2 KG,3.65,5.1472
2013-03-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,9.26,13.0419
2013-03-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,2.37,3.3334
2013-03-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, whole)",KG,1.74,2.456
2013-03-15,,,National Average,,,"meat, fish and eggs",Meat (lamb),KG,12.03,16.947
2013-03-15,,,National Average,,,milk and dairy,"Cheese (white, boiled)",KG,4.54,6.3879
2013-03-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,1.16,1.635
2013-03-15,,,National Average,,,miscellaneous food,Sugar,KG,0.79,1.1125
2013-03-15,,,National Average,,,oil and fats,Oil (olive),KG,5.07,7.1413
2013-03-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.91,2.6841
2013-03-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,1.49,2.1025
2013-03-15,,,National Average,,,pulses and nuts,Chickpeas,KG,1.8,2.5335
2013-03-15,,,National Average,,,pulses and nuts,Lentils,KG,1.28,1.7998
2013-03-15,,,National Average,,,vegetables and fruits,Apples (red),KG,1.95,2.7447
2013-03-15,,,National Average,,,vegetables and fruits,Bananas,KG,0.86,1.2055
2013-03-15,,,National Average,,,vegetables and fruits,Cucumbers,KG,0.68,0.952
2013-03-15,,,National Average,,,vegetables and fruits,Garlic,KG,2.25,3.1686
